experiment_id,market_cap_percentile,initial_investment,split_method,stocks_to_invest,min_zscore_rank,total_stocks,total_invested,total_final_value,remaining_cash,total_two_quarter_return_pct,total_annualized_return_pct,avg_two_quarter_return_pct,avg_annualized_return_pct,weighted_avg_two_quarter_return,weighted_avg_annualized_return,portfolio_sortino_ratio,avg_stock_sortino_ratio,max_drawdown_pct,positive_returns_pct,return_volatility,win_loss_ratio
568,0.3,10000,equal,35,40,15,8999.018396377563,12685.68595314026,1000.9816036224364,40.96744105164532,98.71819436649096,41.87315077146692,119.31483994181151,40.96744105164531,116.7873276717186,4.025461667640101,-0.1885618083164126,-50.46729229427942,86.66666666666667,43.95809389583167,6.5
569,0.3,10000,equal,35,45,17,8996.102049827576,12248.035975456238,1003.8979501724244,36.148255184488384,85.3634738978057,35.83973188581122,103.20837701391902,36.14825518448838,103.9546677483488,3.4242921372440005,-0.3327561323230811,-50.46729229427942,76.47058823529412,44.55536164699207,3.25
570,0.3,10000,equal,35,50,22,8691.553184509277,11379.014331817629,1308.4468154907229,30.920378559014505,71.40145522035665,30.342381226879095,85.7505319458906,30.920378559014505,87.24716913934546,3.205758066263802,-0.385694607919935,-50.46729229427942,72.72727272727273,40.760724977962795,2.6666666666666665
571,0.3,10000,equal,40,5,3,9969.527660369871,15274.877494812012,30.472339630126953,53.21565890760875,134.75038134492712,53.11549200115687,156.0134240769611,53.21565890760874,156.34833266302817,0.0,0.0,17.47871589501282,100.0,56.88130426958987,inf
572,0.3,10000,equal,40,10,6,9894.98497390747,14939.900026321411,105.0150260925293,50.98456506722449,127.96338888538943,51.21042385920509,148.48208035843723,50.98456506722447,147.75035716466755,21.00692649511802,-0.2357022603955158,-5.532486713557616,83.33333333333334,48.78871695992754,5.0
573,0.3,10000,equal,40,15,10,9811.162464141846,13503.009977340698,188.8375358581543,37.62905289451619,89.41756200641535,37.82104175520245,112.36358451677268,37.629052894516185,111.94553139008843,2.948515398213581,-0.282842712474619,-50.46729229427942,80.0,49.9079029723529,4.0
574,0.3,10000,equal,40,20,11,9759.4416847229,13627.276817321776,240.5583152770996,39.6317254362353,94.970187483002,40.19740269151535,117.49708908250535,39.63172543623531,115.71675994968427,3.3004842714282208,-0.2571297386132899,-50.46729229427942,81.81818181818183,47.99830106872519,4.5
575,0.3,10000,equal,40,25,12,9759.440704345703,13896.96318435669,240.55929565429688,42.395077805725315,102.76358183298564,42.89968251673758,124.20508830079548,42.3950778057253,122.73076545334813,3.694353687230806,-0.2357022603955158,-50.46729229427942,83.33333333333334,46.712150259319685,5.0
576,0.3,10000,equal,40,30,12,9759.440704345703,13896.96318435669,240.55929565429688,42.395077805725315,102.76358183298564,42.89968251673758,124.20508830079548,42.3950778057253,122.73076545334813,3.694353687230806,-0.2357022603955158,-50.46729229427942,83.33333333333334,46.712150259319685,5.0
577,0.3,10000,equal,40,35,14,9118.306051254272,13033.23948097229,881.6939487457275,42.934876365325515,104.30378881570893,43.288740310466686,124.3391871257123,42.93487636532552,123.43646164083232,4.028786071445639,-0.2020305089104421,-50.46729229427942,85.71428571428571,45.26127448097849,6.0
578,0.3,10000,equal,40,40,15,8999.018396377563,12685.68595314026,1000.9816036224364,40.96744105164532,98.71819436649096,41.87315077146692,119.31483994181151,40.96744105164531,116.7873276717186,4.025461667640101,-0.1885618083164126,-50.46729229427942,86.66666666666667,43.95809389583167,6.5
579,0.3,10000,equal,40,45,17,8996.102049827576,12248.035975456238,1003.8979501724244,36.148255184488384,85.3634738978057,35.83973188581122,103.20837701391902,36.14825518448838,103.9546677483488,3.4242921372440005,-0.3327561323230811,-50.46729229427942,76.47058823529412,44.55536164699207,3.25
580,0.3,10000,equal,40,50,22,8691.553184509277,11379.014331817629,1308.4468154907229,30.920378559014505,71.40145522035665,30.342381226879095,85.7505319458906,30.920378559014505,87.24716913934546,3.205758066263802,-0.385694607919935,-50.46729229427942,72.72727272727273,40.760724977962795,2.6666666666666665
581,0.3,10000,equal,45,5,3,9969.527660369871,15274.877494812012,30.472339630126953,53.21565890760875,134.75038134492712,53.11549200115687,156.0134240769611,53.21565890760874,156.34833266302817,0.0,0.0,17.47871589501282,100.0,56.88130426958987,inf
582,0.3,10000,equal,45,10,6,9894.98497390747,14939.900026321411,105.0150260925293,50.98456506722449,127.96338888538943,51.21042385920509,148.48208035843723,50.98456506722447,147.75035716466755,21.00692649511802,-0.2357022603955158,-5.532486713557616,83.33333333333334,48.78871695992754,5.0
583,0.3,10000,equal,45,15,10,9811.162464141846,13503.009977340698,188.8375358581543,37.62905289451619,89.41756200641535,37.82104175520245,112.36358451677268,37.629052894516185,111.94553139008843,2.948515398213581,-0.282842712474619,-50.46729229427942,80.0,49.9079029723529,4.0
584,0.3,10000,equal,45,20,11,9759.4416847229,13627.276817321776,240.5583152770996,39.6317254362353,94.970187483002,40.19740269151535,117.49708908250535,39.63172543623531,115.71675994968427,3.3004842714282208,-0.2571297386132899,-50.46729229427942,81.81818181818183,47.99830106872519,4.5
585,0.3,10000,equal,45,25,12,9759.440704345703,13896.96318435669,240.55929565429688,42.395077805725315,102.76358183298564,42.89968251673758,124.20508830079548,42.3950778057253,122.73076545334813,3.694353687230806,-0.2357022603955158,-50.46729229427942,83.33333333333334,46.712150259319685,5.0
586,0.3,10000,equal,45,30,12,9759.440704345703,13896.96318435669,240.55929565429688,42.395077805725315,102.76358183298564,42.89968251673758,124.20508830079548,42.3950778057253,122.73076545334813,3.694353687230806,-0.2357022603955158,-50.46729229427942,83.33333333333334,46.712150259319685,5.0
587,0.3,10000,equal,45,35,14,9118.306051254272,13033.23948097229,881.6939487457275,42.934876365325515,104.30378881570893,43.288740310466686,124.3391871257123,42.93487636532552,123.43646164083232,4.028786071445639,-0.2020305089104421,-50.46729229427942,85.71428571428571,45.26127448097849,6.0
588,0.3,10000,equal,45,40,15,8999.018396377563,12685.68595314026,1000.9816036224364,40.96744105164532,98.71819436649096,41.87315077146692,119.31483994181151,40.96744105164531,116.7873276717186,4.025461667640101,-0.1885618083164126,-50.46729229427942,86.66666666666667,43.95809389583167,6.5
589,0.3,10000,equal,45,45,17,8996.102049827576,12248.035975456238,1003.8979501724244,36.148255184488384,85.3634738978057,35.83973188581122,103.20837701391902,36.14825518448838,103.9546677483488,3.4242921372440005,-0.3327561323230811,-50.46729229427942,76.47058823529412,44.55536164699207,3.25
590,0.3,10000,equal,45,50,22,8691.553184509277,11379.014331817629,1308.4468154907229,30.920378559014505,71.40145522035665,30.342381226879095,85.7505319458906,30.920378559014505,87.24716913934546,3.205758066263802,-0.385694607919935,-50.46729229427942,72.72727272727273,40.760724977962795,2.6666666666666665
591,0.3,10000,equal,50,5,3,9969.527660369871,15274.877494812012,30.472339630126953,53.21565890760875,134.75038134492712,53.11549200115687,156.0134240769611,53.21565890760874,156.34833266302817,0.0,0.0,17.47871589501282,100.0,56.88130426958987,inf
592,0.3,10000,equal,50,10,6,9894.98497390747,14939.900026321411,105.0150260925293,50.98456506722449,127.96338888538943,51.21042385920509,148.48208035843723,50.98456506722447,147.75035716466755,21.00692649511802,-0.2357022603955158,-5.532486713557616,83.33333333333334,48.78871695992754,5.0
593,0.3,10000,equal,50,15,10,9811.162464141846,13503.009977340698,188.8375358581543,37.62905289451619,89.41756200641535,37.82104175520245,112.36358451677268,37.629052894516185,111.94553139008843,2.948515398213581,-0.282842712474619,-50.46729229427942,80.0,49.9079029723529,4.0
594,0.3,10000,equal,50,20,11,9759.4416847229,13627.276817321776,240.5583152770996,39.6317254362353,94.970187483002,40.19740269151535,117.49708908250535,39.63172543623531,115.71675994968427,3.3004842714282208,-0.2571297386132899,-50.46729229427942,81.81818181818183,47.99830106872519,4.5
595,0.3,10000,equal,50,25,12,9759.440704345703,13896.96318435669,240.55929565429688,42.395077805725315,102.76358183298564,42.89968251673758,124.20508830079548,42.3950778057253,122.73076545334813,3.694353687230806,-0.2357022603955158,-50.46729229427942,83.33333333333334,46.712150259319685,5.0
596,0.3,10000,equal,50,30,12,9759.440704345703,13896.96318435669,240.55929565429688,42.395077805725315,102.76358183298564,42.89968251673758,124.20508830079548,42.3950778057253,122.73076545334813,3.694353687230806,-0.2357022603955158,-50.46729229427942,83.33333333333334,46.712150259319685,5.0
597,0.3,10000,equal,50,35,14,9118.306051254272,13033.23948097229,881.6939487457275,42.934876365325515,104.30378881570893,43.288740310466686,124.3391871257123,42.93487636532552,123.43646164083232,4.028786071445639,-0.2020305089104421,-50.46729229427942,85.71428571428571,45.26127448097849,6.0
598,0.3,10000,equal,50,40,15,8999.018396377563,12685.68595314026,1000.9816036224364,40.96744105164532,98.71819436649096,41.87315077146692,119.31483994181151,40.96744105164531,116.7873276717186,4.025461667640101,-0.1885618083164126,-50.46729229427942,86.66666666666667,43.95809389583167,6.5
599,0.3,10000,equal,50,45,17,8996.102049827576,12248.035975456238,1003.8979501724244,36.148255184488384,85.3634738978057,35.83973188581122,103.20837701391902,36.14825518448838,103.9546677483488,3.4242921372440005,-0.3327561323230811,-50.46729229427942,76.47058823529412,44.55536164699207,3.25
600,0.3,10000,equal,50,50,22,8691.553184509277,11379.014331817629,1308.4468154907229,30.920378559014505,71.40145522035665,30.342381226879095,85.7505319458906,30.920378559014505,87.24716913934546,3.205758066263802,-0.385694607919935,-50.46729229427942,72.72727272727273,40.760724977962795,2.6666666666666665
601,0.35,10000,equal,5,5,3,9969.527660369871,15274.877494812012,30.472339630126953,53.21565890760875,134.75038134492712,53.11549200115687,156.0134240769611,53.21565890760874,156.34833266302817,0.0,0.0,17.47871589501282,100.0,56.88130426958987,inf
602,0.35,10000,equal,5,10,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
603,0.35,10000,equal,5,15,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
604,0.35,10000,equal,5,20,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
605,0.35,10000,equal,5,25,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
606,0.35,10000,equal,5,30,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
607,0.35,10000,equal,5,35,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
608,0.35,10000,equal,5,40,5,9916.124794006348,14041.220888137816,83.87520599365234,41.59988079844277,100.50526242133202,41.86932855023305,119.83708916462092,41.59988079844277,118.97189099020314,15.4991539494363,-0.282842712474619,-5.532486713557616,80.0,48.17679074471602,4.0
